iter	MultiClass
0	1.574428119
1	1.408129714
2	1.269812766
3	1.177827709
4	1.096172881
5	1.023310563
6	0.9538094158
7	0.8972550916
8	0.8473970576
9	0.8073771475
10	0.7721939713
11	0.7335945803
12	0.6982643932
13	0.6724793061
14	0.6476807766
15	0.6233410622
16	0.6051090662
17	0.5871399568
18	0.5685255104
19	0.5507817412
20	0.5345611328
21	0.5201387144
22	0.5015717946
23	0.4854893893
24	0.4753142792
25	0.4644280722
26	0.4548396924
27	0.4452464682
28	0.4371535416
29	0.4285288077
30	0.4197596144
31	0.4118069424
32	0.4054395492
33	0.4002831905
34	0.3957178985
35	0.3903688307
36	0.3846701925
37	0.3779752614
38	0.3745880706
39	0.3699445588
40	0.3659450018
41	0.3601565508
42	0.3557165899
43	0.3516939065
44	0.3477940283
45	0.3454976291
46	0.340750443
47	0.3366542524
48	0.3323036264
49	0.3287626204
50	0.3250793311
51	0.3219247883
52	0.3191228603
53	0.3160207766
54	0.311826991
55	0.3088911081
56	0.3061745904
57	0.3026223195
58	0.3013587035
59	0.2979324956
60	0.2948372964
61	0.2920403832
62	0.2903664876
63	0.2884744108
64	0.2852231841
65	0.2827546795
66	0.281091717
67	0.2788189992
68	0.2771119369
69	0.2750341583
70	0.273266538
71	0.271505686
72	0.2693567213
73	0.2674293669
74	0.2659905825
75	0.2644954615
76	0.2632440522
77	0.2614418313
78	0.2598250095
79	0.2576131424
80	0.2561702054
81	0.2539620641
82	0.2528615697
83	0.2511713414
84	0.2495618724
85	0.2485365609
86	0.2470076781
87	0.2454769493
88	0.2443053416
89	0.2429892776
90	0.2411657941
91	0.2400634069
92	0.2388087236
93	0.2378099479
94	0.2364000131
95	0.2351735609
96	0.234052305
97	0.2326999091
98	0.2312537718
99	0.2300073366
100	0.2288416077
101	0.2275846345
102	0.22648448
103	0.2250258411
104	0.2239007534
105	0.222561042
106	0.221335234
107	0.2198234061
108	0.2188067824
109	0.2178372569
110	0.2165302019
111	0.2154033251
112	0.2145159404
113	0.2133546285
114	0.2121317858
115	0.210655192
116	0.2096723081
117	0.2087855282
118	0.2075427777
119	0.2064257662
120	0.2053036952
121	0.204512874
122	0.2033886684
123	0.2027858972
124	0.2020735526
125	0.2013391451
126	0.2006359346
127	0.1995181442
128	0.1986817784
129	0.1979329264
130	0.1974928569
131	0.1966537885
132	0.1958329293
133	0.1953395077
134	0.1945522178
135	0.1937326818
136	0.1926613077
137	0.1918019929
138	0.1910039202
139	0.1902365464
140	0.1892475998
141	0.1883297666
142	0.1872699539
143	0.1869351684
144	0.1860782272
145	0.1852906277
146	0.1845977333
147	0.183882101
148	0.1833673828
149	0.1829081194
