iter	Passed	Remaining
406	6137	8941
407	6153	8928
408	6168	8913
409	6183	8898
410	6197	8882
411	6213	8868
412	6229	8853
413	6243	8837
414	6258	8822
415	6274	8808
416	6288	8792
417	6302	8775
418	6316	8759
419	6330	8742
420	6346	8727
421	6361	8713
422	6378	8700
423	6394	8686
424	6410	8673
425	6426	8658
426	6441	8644
427	6457	8630
428	6472	8614
429	6487	8600
430	6501	8583
431	6514	8565
432	6528	8549
433	6544	8535
434	6559	8519
435	6574	8504
436	6589	8489
437	6604	8474
438	6621	8461
439	6638	8448
440	6655	8436
441	6673	8425
442	6690	8412
443	6708	8401
444	6725	8388
445	6743	8376
446	6760	8363
447	6777	8350
448	6793	8337
449	6810	8323
450	6826	8309
451	6842	8295
452	6857	8280
453	6872	8265
454	6888	8250
455	6903	8236
456	6918	8220
457	6933	8205
458	6947	8188
459	6960	8171
460	6974	8154
461	6989	8138
462	7003	8123
463	7018	8107
464	7032	8090
465	7045	8073
466	7058	8055
467	7072	8039
468	7087	8024
469	7102	8008
470	7117	7994
471	7132	7978
472	7145	7961
473	7158	7943
474	7172	7927
475	7188	7912
476	7204	7899
477	7221	7886
478	7241	7876
479	7258	7863
480	7273	7848
481	7289	7834
482	7304	7819
483	7321	7805
484	7338	7792
485	7354	7777
486	7370	7763
487	7386	7749
488	7400	7732
489	7415	7718
490	7431	7703
491	7447	7689
492	7463	7675
493	7480	7661
494	7496	7647
495	7512	7633
496	7529	7620
497	7545	7605
498	7560	7590
499	7575	7575
500	7591	7561
501	7606	7545
502	7621	7530
503	7635	7514
504	7650	7499
505	7665	7483
506	7684	7471
507	7700	7458
508	7719	7446
509	7735	7431
510	7750	7416
511	7765	7401
512	7780	7386
513	7795	7370
514	7807	7353
515	7820	7335
516	7833	7317
517	7844	7299
518	7857	7282
519	7868	7263
520	7880	7245
521	7892	7227
522	7904	7209
523	7916	7190
524	7928	7173
525	7940	7155
526	7952	7137
527	7964	7119
528	7976	7101
529	7990	7086
530	8003	7068
531	8016	7051
532	8029	7034
533	8041	7017
534	8054	7000
535	8066	6983
536	8079	6965
537	8092	6949
538	8106	6933
539	8121	6918
540	8136	6902
541	8150	6887
542	8165	6871
543	8179	6856
544	8193	6840
545	8208	6825
546	8224	6810
547	8239	6796
548	8256	6782
549	8271	6767
550	8286	6752
551	8301	6737
552	8316	6722
553	8331	6707
554	8346	6692
555	8361	6676
556	8376	6661
557	8389	6645
558	8404	6630
559	8420	6616
560	8437	6602
561	8452	6587
562	8468	6573
563	8483	6557
564	8498	6543
565	8512	6527
566	8526	6511
567	8539	6495
568	8554	6479
569	8570	6465
570	8586	6451
571	8602	6436
572	8617	6421
573	8632	6406
574	8647	6391
575	8661	6376
576	8674	6359
577	8688	6343
578	8702	6327
579	8717	6312
580	8733	6298
581	8748	6283
582	8764	6269
583	8780	6254
584	8795	6239
585	8811	6224
586	8826	6209
587	8840	6194
588	8854	6178
589	8868	6162
590	8883	6147
591	8898	6132
592	8914	6118
593	8929	6103
594	8944	6088
595	8958	6072
596	8973	6057
597	8986	6041
598	9001	6026
599	9015	6010
600	9031	5995
601	9046	5980
602	9062	5966
603	9077	5951
604	9092	5936
605	9107	5921
606	9122	5906
607	9135	5890
608	9149	5874
609	9164	5859
610	9180	5844
611	9196	5830
612	9212	5815
613	9227	5801
614	9242	5785
615	9257	5770
616	9270	5754
617	9284	5739
618	9297	5722
619	9311	5707
620	9327	5692
621	9343	5678
622	9359	5663
623	9375	5649
624	9390	5634
625	9405	5619
626	9421	5605
627	9437	5590
628	9451	5574
629	9465	5559
630	9478	5543
631	9493	5527
632	9508	5512
633	9523	5497
634	9537	5482
635	9551	5466
636	9566	5451
637	9579	5435
638	9594	5420
639	9609	5405
640	9626	5391
641	9643	5377
642	9659	5363
643	9675	5348
644	9695	5336
645	9712	5322
646	9728	5307
647	9744	5293
648	9761	5279
649	9777	5264
650	9792	5249
651	9808	5235
652	9823	5220
653	9839	5205
654	9856	5191
655	9874	5178
656	9890	5163
657	9907	5149
658	9923	5135
659	9940	5120
660	9955	5105
661	9971	5091
662	9987	5076
663	10003	5062
664	10020	5047
665	10036	5033
666	10050	5017
667	10066	5003
668	10082	4988
669	10099	4974
670	10114	4959
671	10129	4944
672	10143	4928
673	10158	4913
674	10171	4897
675	10186	4882
676	10201	4867
677	10217	4852
678	10233	4838
679	10249	4823
680	10263	4807
681	10280	4793
682	10297	4779
683	10314	4765
684	10330	4750
685	10345	4735
686	10361	4720
687	10374	4704
688	10388	4688
689	10401	4673
690	10416	4657
691	10431	4642
692	10447	4628
693	10462	4613
694	10477	4597
695	10491	4582
696	10505	4566
697	10518	4551
698	10532	4535
699	10546	4520
700	10560	4504
701	10575	4489
702	10588	4473
703	10601	4457
704	10615	4442
705	10629	4426
706	10644	4411
707	10660	4396
708	10675	4381
709	10689	4366
710	10703	4350
711	10717	4335
712	10734	4320
713	10746	4304
714	10762	4289
715	10777	4275
716	10792	4259
717	10807	4244
718	10821	4229
719	10836	4214
720	10849	4198
721	10863	4183
722	10877	4167
723	10892	4152
724	10908	4137
725	10922	4122
726	10937	4107
727	10950	4091
728	10964	4075
729	10978	4060
730	10992	4045
731	11006	4029
732	11021	4014
733	11036	3999
734	11050	3984
735	11063	3968
736	11076	3952
737	11091	3937
738	11106	3922
739	11121	3907
740	11134	3891
741	11148	3876
742	11161	3860
743	11175	3845
744	11191	3830
745	11206	3815
746	11222	3801
747	11239	3786
748	11257	3772
749	11274	3758
750	11291	3743
751	11306	3728
752	11322	3714
753	11338	3699
754	11354	3684
755	11370	3669
756	11385	3654
757	11401	3639
758	11417	3625
759	11432	3610
760	11447	3595
761	11460	3579
762	11474	3564
763	11489	3548
764	11504	3533
765	11519	3519
766	11536	3504
767	11551	3489
768	11567	3474
769	11583	3460
770	11599	3445
771	11615	3430
772	11631	3415
773	11648	3401
774	11664	3386
775	11680	3371
776	11697	3357
777	11713	3342
778	11728	3327
779	11742	3312
780	11755	3296
781	11768	3280
782	11781	3265
783	11793	3249
784	11805	3233
785	11817	3217
786	11828	3201
787	11840	3185
788	11853	3169
789	11864	3153
790	11876	3138
791	11889	3122
792	11901	3106
793	11913	3090
794	11926	3075
795	11940	3060
796	11953	3044
797	11969	3029
798	11984	3014
799	12003	3000
800	12023	2986
801	12041	2972
802	12057	2958
803	12073	2943
804	12087	2927
805	12101	2912
806	12115	2897
807	12130	2882
808	12145	2867
809	12160	2852
810	12174	2837
811	12190	2822
812	12203	2807
813	12217	2791
814	12231	2776
815	12246	2761
816	12261	2746
817	12277	2731
818	12294	2717
819	12310	2702
820	12326	2687
821	12343	2672
822	12359	2658
823	12374	2643
824	12392	2628
825	12408	2613
826	12424	2599
827	12440	2584
828	12453	2568
829	12467	2553
830	12480	2538
831	12494	2522
832	12508	2507
833	12524	2492
834	12539	2477
835	12554	2462
836	12569	2447
837	12584	2432
838	12597	2417
839	12611	2402
840	12625	2386
841	12640	2371
842	12655	2357
843	12671	2342
844	12687	2327
845	12702	2312
